trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
18,False,"{'a': 0.5, 'e': 0.9980420363486654}",30,0,-139.92908231836938,"{0: 15, 1: 6, 2: 7, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9979631465539511}",20,0,-9.754538963001448,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9978810848992508}",20,0,-167.75721510038431,"{0: 7, 1: 5, 2: 5, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9977957244107325}",20,8,-71.76382905829657,"{0: 4, 1: 2, 2: 5, 3: 1, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.9977069330772096}",25,0,-172.39389645945153,"{0: 11, 1: 2, 2: 8, 3: 3, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9976145736540448}",20,0,-78.78877272222051,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9975185034597317}",35,0,-127.68760536482475,"{0: 20, 1: 5, 2: 9, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.9974185741649026}",25,0,-122.08880502219313,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.9973146315735122}",20,0,-192.93502424984317,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.9972065153959333}",25,8,-63.997649893044695,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 1}",1
28,False,"{'a': 0.5, 'e': 0.9970940590137032}",20,0,-93.51887223465471,"{0: 11, 1: 3, 2: 3, 3: 3, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9969770892356443}",20,0,-199.54708123444416,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0
30,False,"{'a': 0.5, 'e': 0.9968554260450845}",30,13,-43.2061455257317,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.9967288823378911}",30,0,-224.26048022556154,"{0: 17, 1: 2, 2: 5, 3: 3, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.9965972636510338}",20,0,-58.69354357023786,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.9964603678813773}",25,0,-259.9268658169193,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 5}",0
34,False,"{'a': 0.5, 'e': 0.9963179849944094}",20,0,-134.3470434935603,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
